CTYNAME,SUMLEV,STATE,COUNTY,STNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Broward County,700,168,154,FloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFlorida,70,45-49 years,1519191,737703,781488,491642,493413,198831,235124,3386,3181,28970,33217,985,1028,13889,15525,501617,504360,208007,245627,6370,6486,34506,39575,2824,3077,496701,525717,270240,258929,186821,221717,1428,1496,27994,31967,553,557,9665,11051,276497,265949,192903,228893,3377,3717,32460,37149,2091,2292,241002,255771,221402,234484,12010,13407,1958,1685,976,1250,432,471,4224,4474,225120,238411,15104,16734,2993,2769,2046,2426,733,785
Duval County,700,168,434,FloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFlorida,70,45-49 years,776689,369636,407053,239039,249061,100420,123881,1950,1940,19451,22488,519,474,8257,9209,246043,256802,104531,128524,3863,4087,23087,26591,1172,1209,325135,362348,201416,211587,96288,119476,1270,1251,18957,21980,353,326,6851,7728,207141,217982,99505,123171,2790,2998,22243,25699,917,960,44501,44705,37623,37474,4132,4405,680,689,494,508,166,148,1406,1481,38902,38820,5026,5353,1073,1089,844,892,255,249
Hillsborough County,700,168,798,FloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFlorida,70,45-49 years,1164850,566814,598036,427728,440662,94705,109128,3621,3161,27434,30427,737,893,12589,13765,438670,452534,101839,117070,6679,6475,31717,35254,1622,1846,399674,428714,278281,289383,84253,98014,1354,1406,26730,29626,412,465,8644,9820,285541,297593,88705,103245,3372,3679,30264,33673,1097,1222,167140,169322,149447,151279,10452,11114,2267,1755,704,801,325,428,3945,3945,153129,154941,13134,13825,3307,2796,1453,1581,525,624
Miami-Dade County,700,168,1204,FloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFloridaFlorida,70,45-49 years,2092351,1016251,1076100,821982,864694,160979,174618,3741,3285,17900,20436,517,572,11132,12495,830361,874051,168162,182900,6254,6069,21604,24629,1914,2123,301386,307281,140250,129470,136742,150532,999,940,16633,19169,258,248,6504,6922,144587,133982,140622,154789,2406,2408,19356,22135,1308,1391,714865,768819,681732,735224,24237,24086,2742,2345,1267,1267,259,324,4628,5573,685774,740069,27540,28111,3848,3661,2248,2494,606,732
