SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,12,86,Florida,Miami-Dade County,5,5,157153,79997,77156,61668,58714,15152,15047,421,315,1452,1704,23,60,1281,1316,62723,59788,16039,15974,627,514,1877,2143,123,173,27081,26965,11896,11298,13050,13225,89,96,1324,1610,14,25,708,711,12450,11838,13521,13716,172,175,1617,1892,76,102,52916,50191,49772,47416,2102,1822,332,219,128,94,9,35,573,605,50273,47950,2518,2258,455,339,260,251,47,71
50,12,86,Florida,Miami-Dade County,5,6,167096,84758,82338,65300,63144,15816,15322,449,372,1727,2047,58,49,1408,1404,66448,64277,16805,16292,710,624,2153,2500,172,186,29197,28454,12937,12163,13694,13414,105,111,1626,1949,25,23,810,794,13550,12757,14249,13950,227,223,1932,2262,106,116,55561,53884,52363,50981,2122,1908,344,261,101,98,33,26,598,610,52898,51520,2556,2342,483,401,221,238,66,70
50,12,86,Florida,Miami-Dade County,5,7,190094,97294,92800,74951,70835,18365,17730,431,354,2016,2341,89,70,1442,1470,76070,71970,19338,18741,709,622,2479,2820,260,251,32871,31582,14264,13077,15764,15446,121,80,1873,2178,26,15,823,786,14854,13624,16278,15949,254,195,2208,2512,149,139,64423,61218,60687,57758,2601,2284,310,274,143,163,63,55,619,684,61216,58346,3060,2792,455,427,271,308,111,112
50,12,86,Florida,Miami-Dade County,5,8,190232,98335,91897,78080,71937,16589,16037,442,423,1990,2067,56,93,1178,1340,78992,72981,17368,16945,676,676,2383,2516,199,246,30404,28786,13821,12335,14034,13713,86,102,1803,1924,22,32,638,680,14253,12797,14410,14127,196,209,2091,2244,125,143,67931,63111,64259,59602,2555,2324,356,321,187,143,34,61,540,660,64739,60184,2958,2818,480,467,292,272,74,103
50,12,86,Florida,Miami-Dade County,5,9,181516,92237,89279,74629,70933,14397,15028,424,362,1659,1793,69,76,1059,1087,75424,71754,15112,15770,641,560,1994,2161,206,213,26199,25071,12077,10102,11966,12605,73,106,1535,1658,29,36,519,564,12400,10468,12287,12956,164,197,1767,1915,124,138,66038,64208,62552,60831,2431,2423,351,256,124,135,40,40,540,523,63024,61286,2825,2814,477,363,227,246,82,75
50,12,86,Florida,Miami-Dade County,5,10,183918,92233,91685,76625,74944,12844,13664,317,243,1511,1786,44,44,892,1004,77300,75694,13428,14342,506,462,1807,2121,152,162,22959,22067,10363,8694,10643,11193,64,59,1418,1628,25,14,446,479,10640,8986,10916,11491,147,149,1621,1853,106,98,69274,69618,66262,66250,2201,2471,253,184,93,158,19,30,446,525,66660,66708,2512,2851,359,313,186,268,46,64
50,12,86,Florida,Miami-Dade County,5,11,193362,97236,96126,81368,78974,13181,14232,272,233,1531,1673,43,38,841,976,81993,79679,13715,14862,476,467,1804,2000,160,169,23639,23312,11073,9198,10610,11937,42,59,1427,1572,21,13,466,533,11360,9519,10882,12252,154,185,1630,1812,107,111,73597,72814,70295,69776,2571,2295,230,174,104,101,22,25,375,443,70633,70160,2833,2610,322,282,174,188,53,58
50,12,86,Florida,Miami-Dade County,5,12,190901,94725,96176,79206,79268,13203,14276,237,215,1294,1456,20,39,765,922,79732,79925,13666,14873,448,460,1554,1761,150,170,23483,23095,11065,9173,10701,11970,55,59,1195,1359,6,14,461,520,11334,9482,10953,12277,186,197,1387,1579,112,115,71242,73081,68141,70095,2502,2306,182,156,99,97,14,25,304,402,68398,70443,2713,2596,262,263,167,182,38,55
50,12,86,Florida,Miami-Dade County,5,13,170464,81778,88686,67180,71842,12515,14412,170,182,1259,1415,22,22,632,813,67597,72405,12891,14907,343,410,1489,1707,133,143,23143,23393,10756,9110,10717,12441,59,39,1183,1312,17,13,411,478,10992,9386,10944,12709,172,177,1364,1528,102,101,58635,65293,56424,62732,1798,1971,111,143,76,103,5,9,221,335,56605,63019,1947,2198,171,233,125,179,31,42
50,12,86,Florida,Miami-Dade County,5,14,139901,63797,76104,51046,60594,10754,13149,175,162,1227,1483,24,27,571,689,51431,61060,11085,13594,343,361,1444,1717,116,132,20527,22230,9552,8717,9318,11640,75,52,1175,1401,20,16,387,404,9781,8947,9526,11874,195,172,1341,1574,95,100,43270,53874,41494,51877,1436,1509,100,110,52,82,4,11,184,285,41650,52113,1559,1720,148,189,103,143,21,32
50,12,86,Florida,Miami-Dade County,5,15,116120,50790,65330,40924,53100,8237,10329,168,147,995,1155,19,28,447,571,41229,53495,8483,10692,320,323,1151,1354,88,114,16611,18951,8159,8306,7183,9098,69,58,854,1105,15,26,331,358,8360,8507,7355,9306,187,178,982,1252,73,95,34179,46379,32765,44794,1054,1231,99,89,141,50,4,2,116,213,32869,44988,1128,1386,133,145,169,102,15,19
50,12,86,Florida,Miami-Dade County,5,16,88320,37592,50728,31365,42796,5095,6695,126,127,606,648,36,17,364,445,31609,43100,5283,6964,253,267,739,802,99,84,12587,14539,7016,7675,4574,5910,86,53,594,615,29,15,288,271,7197,7828,4717,6066,195,149,703,726,84,71,25005,36189,24349,35121,521,785,40,74,12,33,7,2,76,174,24412,35272,566,898,58,118,36,76,15,13
50,12,86,Florida,Miami-Dade County,5,17,63150,25085,38065,21639,32812,2903,4496,73,78,322,404,7,9,141,266,21734,32991,2972,4648,129,176,373,489,30,52,7190,9375,4142,4818,2570,3942,50,33,317,401,2,6,109,175,4213,4928,2619,4037,96,103,359,463,23,37,17895,28690,17497,27994,333,554,23,45,5,3,5,3,32,91,17521,28063,353,611,33,73,14,26,7,15
50,12,86,Florida,Miami-Dade County,5,18,60124,20394,39730,18001,34801,1928,4201,36,72,311,464,7,0,111,192,18079,34932,1977,4296,73,147,357,538,26,28,5495,9461,3129,4804,1918,3998,25,33,309,457,7,0,107,169,3203,4915,1965,4079,61,99,354,523,26,25,14899,30269,14872,29997,10,203,11,39,2,7,0,0,4,23,14876,30017,12,217,12,48,3,15,0,3
